Web Search interest: market research; marketing research; free market research; market report; market analysis
Glendive MT,0,0,0,0,0
Bakersfield CA,0,0,0,0,0
Eugene OR,0,0,0,0,0
Eureka CA,0,0,0,0,0
Palm Springs CA,0,0,0,0,0
Yakima-Pasco-Richland-Kennewick WA,0,0,0,0,0
Reno NV,0,0,0,0,0
Medford-Klamath Falls OR,0,0,0,0,0
Bend OR,0,0,0,0,0
Monterey-Salinas CA,0,0,0,0,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0,0,0,0,0
Fresno-Visalia CA,0,0,0,0,0
Chico-Redding CA,0,0,0,0,0
Spokane WA,0,0,0,0,0

Top metros for marketing research
Metro,market research,marketing research,free market research,market report,market analysis
Cincinnati OH,100,100,0,0,0
St. Louis MO,61,58,0,67,60
Grand Rapids-Kalamazoo-Battle Creek MI,50,58,0,0,0
Atlanta GA,62,57,0,50,81
Philadelphia PA,82,56,0,64,90
Boston MA-Manchester NH,84,52,0,82,100
Pittsburgh PA,60,52,0,68,84
Indianapolis IN,53,51,0,0,84
Milwaukee WI,65,51,0,0,0
Raleigh-Durham (Fayetteville) NC,58,50,0,71,91
New York NY,88,49,0,84,93
Chicago IL,83,49,0,56,75
Hartford & New Haven CT,62,49,0,0,99
Kansas City MO,51,45,0,63,68
Cleveland-Akron (Canton) OH,51,45,0,61,77
Charlotte NC,58,45,0,57,55
Minneapolis-St. Paul MN,69,44,0,67,71
Salt Lake City UT,62,42,0,63,70
Detroit MI,49,42,0,46,66
Phoenix AZ,54,42,0,63,73
San Diego CA,58,42,0,55,82
Los Angeles CA,60,41,0,58,64
Baltimore MD,59,41,0,68,83
Columbus OH,62,41,0,61,70
Washington DC (Hagerstown MD),64,40,0,68,85
Tampa-St. Petersburg (Sarasota) FL,46,39,0,54,82
Miami-Ft. Lauderdale FL,53,39,0,48,79
Dallas-Ft. Worth TX,54,38,0,60,67
Austin TX,81,37,0,61,81
Orlando-Daytona Beach-Melbourne FL,44,36,0,52,62
San Francisco-Oakland-San Jose CA,71,34,0,68,80
Houston TX,40,33,0,62,71
Denver CO,62,33,0,77,83
Seattle-Tacoma WA,55,31,0,55,71
Portland OR,48,29,0,56,58
Sacramento-Stockton-Modesto CA,40,26,0,57,55
Portland-Auburn ME,0,0,0,0,0
Binghamton NY,0,0,0,0,0
Macon GA,0,0,0,0,0
Savannah GA,0,0,0,0,0
Ft. Wayne IN,0,0,0,0,0
Flint-Saginaw-Bay City MI,0,0,0,0,0
Buffalo NY,0,0,0,0,0
Erie PA,0,0,0,0,0
Greensboro-High Point-Winston Salem NC,56,0,0,0,0
Charleston SC,0,0,0,0,0
Augusta GA,0,0,0,0,0
Providence RI-New Bedford MA,43,0,0,0,0
Columbus GA,0,0,0,0,0
Burlington VT-Plattsburgh NY,0,0,0,0,0
Albany GA,0,0,0,0,0
Utica NY,0,0,0,0,0
Louisville KY,47,0,0,0,0
Tallahassee FL-Thomasville GA,0,0,0,0,0
Tri-Cities TN-VA,0,0,0,0,0
Albany-Schenectady-Troy NY,0,0,0,0,0
Youngstown OH,0,0,0,0,0
Bangor ME,0,0,0,0,0
Rochester NY,68,0,0,0,0
Traverse City-Cadillac MI,0,0,0,0,0
Lexington KY,0,0,0,0,0
Dayton OH,0,0,0,0,0
Springfield-Holyoke MA,0,0,0,0,0
Norfolk-Portsmouth-Newport News VA,44,0,0,0,0
Greenville-New Bern-Washington NC,0,0,0,0,0
Columbia SC,0,0,0,0,0
Toledo OH,0,0,0,0,0
West Palm Beach-Ft. Pierce FL,38,0,0,0,0
Watertown NY,0,0,0,0,0
Wilmington NC,0,0,0,0,0
Lansing MI,0,0,0,0,0
Presque Isle ME,0,0,0,0,0
Marquette MI,0,0,0,0,0
Wheeling WV-Steubenville OH,0,0,0,0,0
Syracuse NY,71,0,0,0,0
Richmond-Petersburg VA,51,0,0,0,0
Knoxville TN,0,0,0,0,0
Lima OH,0,0,0,0,0
Bluefield-Beckley-Oak Hill WV,0,0,0,0,0
Jacksonville FL,0,0,0,0,0
Charleston-Huntington WV,0,0,0,0,0
Elmira NY,0,0,0,0,0
Harrisburg-Lancaster-Lebanon-York PA,0,0,0,0,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0,0,0,0,0
Harrisonburg VA,0,0,0,0,0
Florence-Myrtle Beach SC,0,0,0,0,0
Ft. Myers-Naples FL,0,0,0,0,0
Roanoke-Lynchburg VA,0,0,0,0,0
Johnstown-Altoona PA,0,0,0,0,0
Chattanooga TN,0,0,0,0,0
Salisbury MD,0,0,0,0,0
Wilkes Barre-Scranton PA,0,0,0,0,0
Terre Haute IN,0,0,0,0,0
Lafayette IN,0,0,0,0,0
Alpena MI,0,0,0,0,0
Charlottesville VA,0,0,0,0,0
South Bend-Elkhart IN,0,0,0,0,0
Gainesville FL,0,0,0,0,0
Zanesville OH,0,0,0,0,0
Parkersburg WV,0,0,0,0,0
Clarksburg-Weston WV,0,0,0,0,0
Corpus Christi TX,0,0,0,0,0
Joplin MO-Pittsburg KS,0,0,0,0,0
Columbia-Jefferson City MO,0,0,0,0,0
Topeka KS,0,0,0,0,0
Dothan AL,0,0,0,0,0
Rockford IL,0,0,0,0,0
Rochester MN-Mason City IA-Austin MN,0,0,0,0,0
Shreveport LA,0,0,0,0,0
Springfield MO,0,0,0,0,0
New Orleans LA,0,0,0,0,0
Sioux City IA,0,0,0,0,0
Waco-Temple-Bryan TX,0,0,0,0,0
Victoria TX,0,0,0,0,0
Wichita Falls TX & Lawton OK,0,0,0,0,0
Monroe LA-El Dorado AR,0,0,0,0,0
Birmingham AL,0,0,0,0,0
Ottumwa IA-Kirksville MO,0,0,0,0,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0,0,0,0,0
Odessa-Midland TX,0,0,0,0,0
Amarillo TX,0,0,0,0,0
Harlingen-Weslaco-Brownsville-McAllen TX,0,0,0,0,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0,0,0,0,0
St. Joseph MO,0,0,0,0,0
Jackson TN,0,0,0,0,0
Memphis TN,0,0,0,0,0
San Antonio TX,32,0,0,0,0
Lafayette LA,0,0,0,0,0
Lake Charles LA,0,0,0,0,0
Alexandria LA,0,0,0,0,0
Greenwood-Greenville MS,0,0,0,0,0
Champaign & Springfield-Decatur IL,0,0,0,0,0
Evansville IN,0,0,0,0,0
Oklahoma City OK,37,0,0,100,0
Lubbock TX,0,0,0,0,0
Omaha NE,0,0,0,0,0
Panama City FL,0,0,0,0,0
Sherman TX-Ada OK,0,0,0,0,0
Green Bay-Appleton WI,0,0,0,0,0
Nashville TN,41,0,0,62,0
San Angelo TX,0,0,0,0,0
Abilene-Sweetwater TX,0,0,0,0,0
Madison WI,0,0,0,0,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0,0,0,0,0
Tulsa OK,0,0,0,0,0
Columbus-Tupelo-West Point MS,0,0,0,0,0
Peoria-Bloomington IL,0,0,0,0,0
Duluth MN-Superior WI,0,0,0,0,0
Wichita-Hutchinson KS,0,0,0,0,0
Des Moines-Ames IA,0,0,0,0,0
Davenport IA-Rock Island-Moline IL,0,0,0,0,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0,0,0,0,0
Minot-Bismarck-Dickinson(Williston) ND,0,0,0,0,0
Huntsville-Decatur (Florence) AL,0,0,0,0,0
Beaumont-Port Arthur TX,0,0,0,0,0
Little Rock-Pine Bluff AR,0,0,0,0,0
Montgomery (Selma) AL,0,0,0,0,0
La Crosse-Eau Claire WI,0,0,0,0,0
Wausau-Rhinelander WI,0,0,0,0,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0,0,0,0,0
Hattiesburg-Laurel MS,0,0,0,0,0
Meridian MS,0,0,0,0,0
Baton Rouge LA,0,0,0,0,0
Quincy IL-Hannibal MO-Keokuk IA,0,0,0,0,0
Jackson MS,0,0,0,0,0
Lincoln & Hastings-Kearney NE,0,0,0,0,0
Fargo-Valley City ND,0,0,0,0,0
Sioux Falls(Mitchell) SD,0,0,0,0,0
Jonesboro AR,0,0,0,0,0
Bowling Green KY,0,0,0,0,0
Mankato MN,0,0,0,0,0
North Platte NE,0,0,0,0,0
Anchorage AK,0,0,0,0,0
Honolulu HI,0,0,0,0,0
Fairbanks AK,0,0,0,0,0
Biloxi-Gulfport MS,0,0,0,0,0
Juneau AK,0,0,0,0,0
Laredo TX,0,0,0,0,0
Colorado Springs-Pueblo CO,0,0,0,0,0
Butte-Bozeman MT,0,0,0,0,0
Great Falls MT,0,0,0,0,0
Billings MT,0,0,0,0,0
Boise ID,0,0,0,0,0
Idaho Falls-Pocatello ID,0,0,0,0,0
Cheyenne WY-Scottsbluff NE,0,0,0,0,0
Twin Falls ID,0,0,0,0,0
Missoula MT,0,0,0,0,0
Rapid City SD,0,0,0,0,0
El Paso TX,0,0,0,0,0
Helena MT,0,0,0,0,0
Casper-Riverton WY,0,0,0,0,0
Yuma AZ-El Centro CA,0,0,0,0,0
Grand Junction-Montrose CO,0,0,0,0,0
Tucson (Sierra Vista) AZ,0,0,0,0,0
Albuquerque-Santa Fe NM,0,0,0,0,0
Glendive MT,0,0,0,0,0
Bakersfield CA,0,0,0,0,0
Eugene OR,0,0,0,0,0
Eureka CA,0,0,0,0,0
Palm Springs CA,0,0,0,0,0
Yakima-Pasco-Richland-Kennewick WA,0,0,0,0,0
Reno NV,0,0,0,0,0
Medford-Klamath Falls OR,0,0,0,0,0
Bend OR,0,0,0,0,0
Monterey-Salinas CA,0,0,0,0,0
Las Vegas NV,44,0,0,0,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0,0,0,0,0
Fresno-Visalia CA,0,0,0,0,0
Chico-Redding CA,0,0,0,0,0
Spokane WA,0,0,0,0,0

Top metros for free market research
Metro,market research,marketing research,free market research,market report,market analysis
Portland-Auburn ME,0,0,0,0,0
New York NY,88,49,0,84,93
Binghamton NY,0,0,0,0,0
Macon GA,0,0,0,0,0
Philadelphia PA,82,56,0,64,90
Detroit MI,49,42,0,46,66
Boston MA-Manchester NH,84,52,0,82,100
Savannah GA,0,0,0,0,0
Pittsburgh PA,60,52,0,68,84
Ft. Wayne IN,0,0,0,0,0
Cleveland-Akron (Canton) OH,51,45,0,61,77
Washington DC (Hagerstown MD),64,40,0,68,85
Baltimore MD,59,41,0,68,83
Flint-Saginaw-Bay City MI,0,0,0,0,0
Buffalo NY,0,0,0,0,0
Cincinnati OH,100,100,0,0,0
Erie PA,0,0,0,0,0
Charlotte NC,58,45,0,57,55
Greensboro-High Point-Winston Salem NC,56,0,0,0,0
Charleston SC,0,0,0,0,0
Augusta GA,0,0,0,0,0
Providence RI-New Bedford MA,43,0,0,0,0
Columbus GA,0,0,0,0,0
Burlington VT-Plattsburgh NY,0,0,0,0,0
Atlanta GA,62,57,0,50,81
Albany GA,0,0,0,0,0
Utica NY,0,0,0,0,0
Indianapolis IN,53,51,0,0,84
Miami-Ft. Lauderdale FL,53,39,0,48,79
Louisville KY,47,0,0,0,0
Tallahassee FL-Thomasville GA,0,0,0,0,0
Tri-Cities TN-VA,0,0,0,0,0
Albany-Schenectady-Troy NY,0,0,0,0,0
Hartford & New Haven CT,62,49,0,0,99
Orlando-Daytona Beach-Melbourne FL,44,36,0,52,62
Columbus OH,62,41,0,61,70
Youngstown OH,0,0,0,0,0
Bangor ME,0,0,0,0,0
Rochester NY,68,0,0,0,0
Tampa-St. Petersburg (Sarasota) FL,46,39,0,54,82
Traverse City-Cadillac MI,0,0,0,0,0
Lexington KY,0,0,0,0,0
Dayton OH,0,0,0,0,0
Springfield-Holyoke MA,0,0,0,0,0
Norfolk-Portsmouth-Newport News VA,44,0,0,0,0
Greenville-New Bern-Washington NC,0,0,0,0,0
Columbia SC,0,0,0,0,0
Toledo OH,0,0,0,0,0
West Palm Beach-Ft. Pierce FL,38,0,0,0,0
Watertown NY,0,0,0,0,0
Wilmington NC,0,0,0,0,0
Lansing MI,0,0,0,0,0
Presque Isle ME,0,0,0,0,0
Marquette MI,0,0,0,0,0
Wheeling WV-Steubenville OH,0,0,0,0,0
Syracuse NY,71,0,0,0,0
Richmond-Petersburg VA,51,0,0,0,0
Knoxville TN,0,0,0,0,0
Lima OH,0,0,0,0,0
Bluefield-Beckley-Oak Hill WV,0,0,0,0,0
Raleigh-Durham (Fayetteville) NC,58,50,0,71,91
Jacksonville FL,0,0,0,0,0
Grand Rapids-Kalamazoo-Battle Creek MI,50,58,0,0,0
Charleston-Huntington WV,0,0,0,0,0
Elmira NY,0,0,0,0,0
Harrisburg-Lancaster-Lebanon-York PA,0,0,0,0,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0,0,0,0,0
Harrisonburg VA,0,0,0,0,0
Florence-Myrtle Beach SC,0,0,0,0,0
Ft. Myers-Naples FL,0,0,0,0,0
Roanoke-Lynchburg VA,0,0,0,0,0
Johnstown-Altoona PA,0,0,0,0,0
Chattanooga TN,0,0,0,0,0
Salisbury MD,0,0,0,0,0
Wilkes Barre-Scranton PA,0,0,0,0,0
Terre Haute IN,0,0,0,0,0
Lafayette IN,0,0,0,0,0
Alpena MI,0,0,0,0,0
Charlottesville VA,0,0,0,0,0
South Bend-Elkhart IN,0,0,0,0,0
Gainesville FL,0,0,0,0,0
Zanesville OH,0,0,0,0,0
Parkersburg WV,0,0,0,0,0
Clarksburg-Weston WV,0,0,0,0,0
Corpus Christi TX,0,0,0,0,0
Chicago IL,83,49,0,56,75
Joplin MO-Pittsburg KS,0,0,0,0,0
Columbia-Jefferson City MO,0,0,0,0,0
Topeka KS,0,0,0,0,0
Dothan AL,0,0,0,0,0
St. Louis MO,61,58,0,67,60
Rockford IL,0,0,0,0,0
Rochester MN-Mason City IA-Austin MN,0,0,0,0,0
Shreveport LA,0,0,0,0,0
Minneapolis-St. Paul MN,69,44,0,67,71
Kansas City MO,51,45,0,63,68
Milwaukee WI,65,51,0,0,0
Houston TX,40,33,0,62,71
Springfield MO,0,0,0,0,0
New Orleans LA,0,0,0,0,0
Dallas-Ft. Worth TX,54,38,0,60,67
Sioux City IA,0,0,0,0,0
Waco-Temple-Bryan TX,0,0,0,0,0
Victoria TX,0,0,0,0,0
Wichita Falls TX & Lawton OK,0,0,0,0,0
Monroe LA-El Dorado AR,0,0,0,0,0
Birmingham AL,0,0,0,0,0
Ottumwa IA-Kirksville MO,0,0,0,0,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0,0,0,0,0
Odessa-Midland TX,0,0,0,0,0
Amarillo TX,0,0,0,0,0
Austin TX,81,37,0,61,81
Harlingen-Weslaco-Brownsville-McAllen TX,0,0,0,0,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0,0,0,0,0
St. Joseph MO,0,0,0,0,0
Jackson TN,0,0,0,0,0
Memphis TN,0,0,0,0,0
San Antonio TX,32,0,0,0,0
Lafayette LA,0,0,0,0,0
Lake Charles LA,0,0,0,0,0
Alexandria LA,0,0,0,0,0
Greenwood-Greenville MS,0,0,0,0,0
Champaign & Springfield-Decatur IL,0,0,0,0,0
Evansville IN,0,0,0,0,0
Oklahoma City OK,37,0,0,100,0
Lubbock TX,0,0,0,0,0
Omaha NE,0,0,0,0,0
Panama City FL,0,0,0,0,0
Sherman TX-Ada OK,0,0,0,0,0
Green Bay-Appleton WI,0,0,0,0,0
Nashville TN,41,0,0,62,0
San Angelo TX,0,0,0,0,0
Abilene-Sweetwater TX,0,0,0,0,0
Madison WI,0,0,0,0,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0,0,0,0,0
Tulsa OK,0,0,0,0,0
Columbus-Tupelo-West Point MS,0,0,0,0,0
Peoria-Bloomington IL,0,0,0,0,0
Duluth MN-Superior WI,0,0,0,0,0
Wichita-Hutchinson KS,0,0,0,0,0
Des Moines-Ames IA,0,0,0,0,0
Davenport IA-Rock Island-Moline IL,0,0,0,0,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0,0,0,0,0
Minot-Bismarck-Dickinson(Williston) ND,0,0,0,0,0
Huntsville-Decatur (Florence) AL,0,0,0,0,0
Beaumont-Port Arthur TX,0,0,0,0,0
Little Rock-Pine Bluff AR,0,0,0,0,0
Montgomery (Selma) AL,0,0,0,0,0
La Crosse-Eau Claire WI,0,0,0,0,0
Wausau-Rhinelander WI,0,0,0,0,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0,0,0,0,0
Hattiesburg-Laurel MS,0,0,0,0,0
Meridian MS,0,0,0,0,0
Baton Rouge LA,0,0,0,0,0
Quincy IL-Hannibal MO-Keokuk IA,0,0,0,0,0
Jackson MS,0,0,0,0,0
Lincoln & Hastings-Kearney NE,0,0,0,0,0
Fargo-Valley City ND,0,0,0,0,0
Sioux Falls(Mitchell) SD,0,0,0,0,0
Jonesboro AR,0,0,0,0,0
Bowling Green KY,0,0,0,0,0
Mankato MN,0,0,0,0,0
North Platte NE,0,0,0,0,0
Anchorage AK,0,0,0,0,0
Honolulu HI,0,0,0,0,0
Fairbanks AK,0,0,0,0,0
Biloxi-Gulfport MS,0,0,0,0,0
Juneau AK,0,0,0,0,0
Laredo TX,0,0,0,0,0
Denver CO,62,33,0,77,83
Colorado Springs-Pueblo CO,0,0,0,0,0
Phoenix AZ,54,42,0,63,73
Butte-Bozeman MT,0,0,0,0,0
Great Falls MT,0,0,0,0,0
Billings MT,0,0,0,0,0
Boise ID,0,0,0,0,0
Idaho Falls-Pocatello ID,0,0,0,0,0
Cheyenne WY-Scottsbluff NE,0,0,0,0,0
Twin Falls ID,0,0,0,0,0
Missoula MT,0,0,0,0,0
Rapid City SD,0,0,0,0,0
El Paso TX,0,0,0,0,0
Helena MT,0,0,0,0,0
Casper-Riverton WY,0,0,0,0,0
Salt Lake City UT,62,42,0,63,70
Yuma AZ-El Centro CA,0,0,0,0,0
Grand Junction-Montrose CO,0,0,0,0,0
Tucson (Sierra Vista) AZ,0,0,0,0,0
Albuquerque-Santa Fe NM,0,0,0,0,0
Glendive MT,0,0,0,0,0
Bakersfield CA,0,0,0,0,0
Eugene OR,0,0,0,0,0
Eureka CA,0,0,0,0,0
Los Angeles CA,60,41,0,58,64
Palm Springs CA,0,0,0,0,0
San Francisco-Oakland-San Jose CA,71,34,0,68,80
Yakima-Pasco-Richland-Kennewick WA,0,0,0,0,0
Reno NV,0,0,0,0,0
Medford-Klamath Falls OR,0,0,0,0,0
Seattle-Tacoma WA,55,31,0,55,71
Portland OR,48,29,0,56,58
Bend OR,0,0,0,0,0
San Diego CA,58,42,0,55,82
Monterey-Salinas CA,0,0,0,0,0
Las Vegas NV,44,0,0,0,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0,0,0,0,0
Sacramento-Stockton-Modesto CA,40,26,0,57,55
Fresno-Visalia CA,0,0,0,0,0
Chico-Redding CA,0,0,0,0,0
Spokane WA,0,0,0,0,0

Top metros for market report
Metro,market research,marketing research,free market research,market report,market analysis
Oklahoma City OK,37,0,0,100,0
New York NY,88,49,0,84,93
Boston MA-Manchester NH,84,52,0,82,100
Denver CO,62,33,0,77,83
Raleigh-Durham (Fayetteville) NC,58,50,0,71,91
Baltimore MD,59,41,0,68,83
Pittsburgh PA,60,52,0,68,84
San Francisco-Oakland-San Jose CA,71,34,0,68,80
Washington DC (Hagerstown MD),64,40,0,68,85
St. Louis MO,61,58,0,67,60
Minneapolis-St. Paul MN,69,44,0,67,71
Philadelphia PA,82,56,0,64,90
Phoenix AZ,54,42,0,63,73
Kansas City MO,51,45,0,63,68
Salt Lake City UT,62,42,0,63,70
Houston TX,40,33,0,62,71
Nashville TN,41,0,0,62,0
Austin TX,81,37,0,61,81
Cleveland-Akron (Canton) OH,51,45,0,61,77
Columbus OH,62,41,0,61,70
Dallas-Ft. Worth TX,54,38,0,60,67
Los Angeles CA,60,41,0,58,64
Charlotte NC,58,45,0,57,55
Sacramento-Stockton-Modesto CA,40,26,0,57,55
Portland OR,48,29,0,56,58
Chicago IL,83,49,0,56,75
San Diego CA,58,42,0,55,82
Seattle-Tacoma WA,55,31,0,55,71
Tampa-St. Petersburg (Sarasota) FL,46,39,0,54,82
Orlando-Daytona Beach-Melbourne FL,44,36,0,52,62
Atlanta GA,62,57,0,50,81
Miami-Ft. Lauderdale FL,53,39,0,48,79
Detroit MI,49,42,0,46,66
Portland-Auburn ME,0,0,0,0,0
Binghamton NY,0,0,0,0,0
Macon GA,0,0,0,0,0
Savannah GA,0,0,0,0,0
Ft. Wayne IN,0,0,0,0,0
Flint-Saginaw-Bay City MI,0,0,0,0,0
Buffalo NY,0,0,0,0,0
Cincinnati OH,100,100,0,0,0
Erie PA,0,0,0,0,0
Greensboro-High Point-Winston Salem NC,56,0,0,0,0
Charleston SC,0,0,0,0,0
Augusta GA,0,0,0,0,0
Providence RI-New Bedford MA,43,0,0,0,0
Columbus GA,0,0,0,0,0
Burlington VT-Plattsburgh NY,0,0,0,0,0
Albany GA,0,0,0,0,0
Utica NY,0,0,0,0,0
Indianapolis IN,53,51,0,0,84
Louisville KY,47,0,0,0,0
Tallahassee FL-Thomasville GA,0,0,0,0,0
Tri-Cities TN-VA,0,0,0,0,0
Albany-Schenectady-Troy NY,0,0,0,0,0
Hartford & New Haven CT,62,49,0,0,99
Youngstown OH,0,0,0,0,0
Bangor ME,0,0,0,0,0
Rochester NY,68,0,0,0,0
Traverse City-Cadillac MI,0,0,0,0,0
Lexington KY,0,0,0,0,0
Dayton OH,0,0,0,0,0
Springfield-Holyoke MA,0,0,0,0,0
Norfolk-Portsmouth-Newport News VA,44,0,0,0,0
Greenville-New Bern-Washington NC,0,0,0,0,0
Columbia SC,0,0,0,0,0
Toledo OH,0,0,0,0,0
West Palm Beach-Ft. Pierce FL,38,0,0,0,0
Watertown NY,0,0,0,0,0
Wilmington NC,0,0,0,0,0
Lansing MI,0,0,0,0,0
Presque Isle ME,0,0,0,0,0
Marquette MI,0,0,0,0,0
Wheeling WV-Steubenville OH,0,0,0,0,0
Syracuse NY,71,0,0,0,0
Richmond-Petersburg VA,51,0,0,0,0
Knoxville TN,0,0,0,0,0
Lima OH,0,0,0,0,0
Bluefield-Beckley-Oak Hill WV,0,0,0,0,0
Jacksonville FL,0,0,0,0,0
Grand Rapids-Kalamazoo-Battle Creek MI,50,58,0,0,0
Charleston-Huntington WV,0,0,0,0,0
Elmira NY,0,0,0,0,0
Harrisburg-Lancaster-Lebanon-York PA,0,0,0,0,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0,0,0,0,0
Harrisonburg VA,0,0,0,0,0
Florence-Myrtle Beach SC,0,0,0,0,0
Ft. Myers-Naples FL,0,0,0,0,0
Roanoke-Lynchburg VA,0,0,0,0,0
Johnstown-Altoona PA,0,0,0,0,0
Chattanooga TN,0,0,0,0,0
Salisbury MD,0,0,0,0,0
Wilkes Barre-Scranton PA,0,0,0,0,0
Terre Haute IN,0,0,0,0,0
Lafayette IN,0,0,0,0,0
Alpena MI,0,0,0,0,0
Charlottesville VA,0,0,0,0,0
South Bend-Elkhart IN,0,0,0,0,0
Gainesville FL,0,0,0,0,0
Zanesville OH,0,0,0,0,0
Parkersburg WV,0,0,0,0,0
Clarksburg-Weston WV,0,0,0,0,0
Corpus Christi TX,0,0,0,0,0
Joplin MO-Pittsburg KS,0,0,0,0,0
Columbia-Jefferson City MO,0,0,0,0,0
Topeka KS,0,0,0,0,0
Dothan AL,0,0,0,0,0
Rockford IL,0,0,0,0,0
